vsl_id,vsl_name,vsl_mmsi,vsl_imo,call_sign,ship_type,vsl_length,vsl_width
9726b7c4-1c96-302a-b023-96f17d0ab765,KMTC CHENNAI,440838000,9375513,D7KC,CONTAINER,261,32
ab7eb51c-645b-34ca-bedf-5e4351007ddd,KMTC NHAVA SHEVA,440761000,9375501,D7SG,CONTAINER,261,31
017248a0-c7c9-3348-8a4f-1442e42ad773,A FLENSBURG,352004797,9155365,3E7038,CONTAINER,176,28
0d36f1c4-63fd-3088-b743-5dc45ce5b6ce,WAN HAI 162,416258000,9132909,BLBZ,CONTAINER,159,25
14719783-afc3-30cd-bec6-5272bcdedf42,SKY ORION,353640000,9719795,H8KJ,CONTAINER,172,27
1522006b-7d64-3aa7-a62f-7ae07e58aff3,OKEE AURELIA,305002000,9343663,V2CH5,CONTAINER,119,19
234219ae-7a37-3c24-8014-cf8a3da10862,TS TOKYO,538007662,9784245,V7DU4,CONTAINER,172,28
23d6eacc-81a1-3efe-911e-b7202e062a16,TI2 APPLE,352382000,9172595,H9ZG,CONTAINER,127,21
316746b5-6a35-3621-a5e8-499422c7e514,SKY CHALLENGE,352003953,9705445,3E5352,CONTAINER,172,27
39e43be2-1595-3f71-84ef-bd1968b87698,HANSA  AUGSBURG,636091575,9373474,A8PN3,CONTAINER,176,28
459b5c60-a998-3728-a7bb-b346bca6670a,SAWASDEE THAILAND,440075000,9377705,D7EE,CONTAINER,172,28
47771b48-ed50-3fbb-915b-fe5e1148b801,PANCON GLORY,441872000,9635418,DSRI4,CONTAINER,146,23
5fdf88da-95bc-3029-a51e-60d5778d151b,DONGJIN ENTERPRISE,440346000,9704300,D7PP,CONTAINER,141,25
615046a4-ea69-377a-b3a9-f9927165f9e4,JIFA BOHAI,412206240,9385752,BPMX9,GENERAL_CARGO,117,20
67f71f29-2d1f-3782-9817-ef16ca0d063c,KMTC HOCHIMINH,440147000,9314923,D7BM,CONTAINER,220,30
8e197c3f-8ad0-37e6-9096-15ad82b80877,EASLINE LIANYUNGANG,353258000,9153082,3FLL8,CONTAINER,164,26
90717743-04c8-3f96-baf9-fb8c0e36a370,HANSA DUBURG,255915792,9535096,CQ2250,CONTAINER,175,27
a7143801-0f2c-3d2c-82d0-7dec182a3afb,CAPE FERROL,538003221,9359325,V7PF6,CONTAINER,170,25
b875e4ee-41f2-3923-9c74-87f3e5370305,MILLENNIUM BRIGHT,353290000,9515606,3FCN3,CONTAINER,172,28
bc6cc8e5-a3ed-36d4-a2a4-729d1076a3de,SITC JIANGSU,477948200,9712383,VROF5,CONTAINER,172,28
c3164adf-3972-39fd-86a7-ff7420cfc95f,HONGKONG VOYAGER,440166000,9402500,D7BC,CONTAINER,147,25
c3251238-4b6f-3915-a4b3-204a0a47065e,POS SHANGHAI,440572000,9415985,D7PS,CONTAINER,144,22
e7662743-088c-3f3e-bb00-169789abf5cf,SKY HOPE,441671000,9595797,DSAC3,CONTAINER,146,23
ea0773a7-4a1a-35d1-85fa-9d15f60ddddb,HAPPY LUCKY,636018597,9363405,D5QL4,CONTAINER,199,32
ead26c9b-c8aa-3eca-8fcf-46e1c3349edc,POS TOKYO,440473000,9133874,DSNZ8,CONTAINER,143,21
eea9d5a5-25da-3a67-913e-d910c7592a6c,EASLINE KWANGYANG,354646000,9226827,HOLT,CONTAINER,192,28
