port_id,pso_lat,pso_lon
CNLYG,34.11936917,127.2725576
CNLYG,34.09354286,127.1739776
CNLYG,34.07125499,127.0745951
CNLYG,34.05334563,126.974364
CNLYG,34.04023033,126.8733477
CNLYG,34.0316215,126.7717905
CNLYG,34.0271655,126.6699542
CNLYG,34.02647788,126.5680764
CNLYG,34.02899564,126.4662574
CNLYG,34.03409141,126.3645477
CNLYG,34.04110573,126.2629934
CNLYG,34.04836917,126.1615043
CNLYG,34.05302221,126.0598291
CNLYG,34.05213699,125.9577074
CNLYG,34.04462118,125.8550843
CNLYG,34.03671642,125.7527263
CNLYG,34.03649586,125.6516047
CNLYG,34.05147104,125.5526134
CNLYG,34.08054484,125.4554565
CNLYG,34.11588627,125.3589072
CNLYG,34.14949064,125.2617151
CNLYG,34.17583619,125.1630522
CNLYG,34.19572886,125.0631679
CNLYG,34.21096796,124.9624805
CNLYG,34.22332946,124.8613931
CNLYG,34.23436246,124.7601628
CNLYG,34.24548805,124.6589638
CNLYG,34.25811808,124.5579686
CNLYG,34.272929,124.4572585
CNLYG,34.2892707,124.3567504
CNLYG,34.30635391,124.2563438
CNLYG,34.32342528,124.155942
CNLYG,34.33995573,124.0554692
CNLYG,34.35550264,123.9548584
CNLYG,34.36963684,123.8540441
CNLYG,34.38240925,123.7530339
CNLYG,34.39447431,123.651927
CNLYG,34.40652486,123.5508282
CNLYG,34.41906135,123.4498108
CNLYG,34.43174742,123.3488099
CNLYG,34.44401925,123.2477233
CNLYG,34.45536522,123.1464587
CNLYG,34.46630632,123.0451236
CNLYG,34.47831026,122.9440089
CNLYG,34.49287939,122.8434119
CNLYG,34.51102697,122.7434972
CNLYG,34.53232445,122.6440383
CNLYG,34.55607889,122.5447368
CNLYG,34.58135377,122.4452932
CNLYG,34.60434501,122.3453944
CNLYG,34.61938138,122.2447182
CNLYG,34.62079466,122.1429457
CNLYG,34.60858105,122.0403044
CNLYG,34.59461517,121.9381673
CNLYG,34.59226741,121.8380516
CNLYG,34.61259818,121.7411559
CNLYG,34.65034103,121.6464273
CNLYG,34.69319349,121.551842
CNLYG,34.7290036,121.4554046
CNLYG,34.7528288,121.3564025
CNLYG,34.76925988,121.2558204
CNLYG,34.78354195,121.1547593
CNLYG,34.79985201,121.0541081
CNLYG,34.81776655,120.9538432
CNLYG,34.83562372,120.853695
CNLYG,34.85183582,120.7534005
CNLYG,34.86626347,120.6528246
CNLYG,34.88008525,120.5519486
CNLYG,34.89452697,120.4507579
CNLYG,34.90961034,120.3492992
CNLYG,34.92174543,120.2478015
CNLYG,34.92666799,120.1465283
CNLYG,34.92044746,120.0457362
CNLYG,34.9031746,119.945602
CNLYG,34.87760405,119.8462492
CNLYG,34.84653807,119.7478005
CNLYG,34.8127789,119.6503788
CNLYG,34.77912879,119.5541066
CNLYG,34.74839,119.4591067
CNNGB,35.05192934,129.130331
CNNGB,34.93481898,129.074165
CNNGB,34.82030558,128.9756102
CNNGB,34.68051909,128.8853839
CNNGB,34.53559633,128.7720023
CNNGB,34.41040803,128.6527953
CNNGB,34.29465379,128.5592353
CNNGB,34.18582064,128.4168221
CNNGB,34.08396765,128.2696314
CNNGB,33.9840198,128.1327841
CNNGB,33.88499428,128.0033986
CNNGB,33.77171899,127.878354
CNNGB,33.66292063,127.7734067
CNNGB,33.53939563,127.6301364
